Position,Track Name,Artist,Streams,URL,Week
174,Higher Love,Kygo,4846279,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2020-03-20--2020-03-27
175,The Take (feat. Chris Brown),Tory Lanez,4826705,https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY,2020-03-20--2020-03-27
176,Sweet but Psycho,Ava Max,4821549,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2020-03-20--2020-03-27
177,Piece Of Your Heart,MEDUZA,4795009,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2020-03-20--2020-03-27
178,All of Me,John Legend,4792493,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,2020-03-20--2020-03-27
179,Hate Me (with Juice WRLD),Ellie Goulding,4791105,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2020-03-20--2020-03-27
180,Better Now,Post Malone,4790751,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2020-03-20--2020-03-27
181,Feel Me,Selena Gomez,4765672,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4,2020-03-20--2020-03-27
182,Let Me Down Slowly,Alec Benjamin,4721858,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2020-03-20--2020-03-27
183,H <3 T E L,Dardan,4701388,https://open.spotify.com/track/4n0Ke1KJsPHvd7xRoU29E2,2020-03-20--2020-03-27
184,25/8,Bad Bunny,4684378,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb,2020-03-20--2020-03-27
185,3 Nights,Dominic Fike,4676852,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,2020-03-20--2020-03-27
186,Jangueo,Alex Rose,4672242,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg,2020-03-20--2020-03-27
187,I Like Me Better,Lauv,4654535,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-03-20--2020-03-27
188,If I Can't Have You,Shawn Mendes,4652099,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2020-03-20--2020-03-27
189,XO Tour Llif3,Lil Uzi Vert,4639102,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2020-03-20--2020-03-27
190,Takeaway,The Chainsmokers,4619049,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,2020-03-20--2020-03-27
191,Se Me Olvidó,Christian Nodal,4591194,https://open.spotify.com/track/5Xitt5a5uLQ1QtYdFxmi9e,2020-03-20--2020-03-27
192,Youngblood,5 Seconds of Summer,4565132,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2020-03-20--2020-03-27
193,"thank u, next",Ariana Grande,4563361,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2020-03-20--2020-03-27
194,Be Alright,Dean Lewis,4561645,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2020-03-20--2020-03-27
195,High Hopes,Panic! At The Disco,4557820,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2020-03-20--2020-03-27
196,B.S. (feat. H.E.R.),Jhené Aiko,4557817,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ,2020-03-20--2020-03-27
197,Soliá,Bad Bunny,4516243,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw,2020-03-20--2020-03-27
